"","A","S","E","O","R","T"
"4671","old","F","uni","emp","big","car"
"4672","adult","F","uni","self","big","car"
"4673","young","M","high","emp","small","train"
"4674","adult","M","uni","emp","big","car"
"4675","old","M","high","emp","big","train"
"4676","adult","M","high","emp","small","car"
"4677","young","F","high","emp","big","train"
"4678","adult","F","uni","self","small","train"
"4679","young","F","uni","emp","big","other"
"4680","young","F","uni","emp","big","car"
"4681","young","F","high","emp","big","car"
"4682","adult","M","high","self","big","train"
"4683","adult","M","high","emp","small","car"
"4684","adult","F","uni","emp","big","car"
"4685","adult","M","high","emp","big","car"
"4686","adult","F","high","emp","big","other"
"4687","young","M","uni","emp","big","car"
"4688","adult","F","uni","emp","big","car"
"4689","old","F","uni","emp","small","car"
"4690","old","F","high","emp","small","train"
"4691","young","F","high","emp","big","train"
"4692","young","F","high","emp","big","other"
"4693","adult","M","uni","emp","small","car"
"4694","young","M","high","emp","big","car"
"4695","adult","M","high","emp","big","other"
"4696","adult","M","high","emp","small","car"
"4697","young","F","uni","emp","big","car"
"4698","adult","M","high","emp","big","train"
"4699","adult","M","uni","emp","big","car"
"4700","adult","M","high","emp","big","car"
"4701","young","F","high","emp","big","other"
"4702","adult","M","high","emp","big","car"
"4703","adult","F","high","emp","small","car"
"4704","adult","M","uni","emp","big","other"
"4705","adult","M","high","emp","big","other"
"4706","adult","M","high","emp","small","train"
"4707","adult","M","high","emp","big","car"
"4708","adult","F","high","emp","big","car"
"4709","adult","F","uni","emp","big","car"
"4710","old","F","high","emp","small","car"
"4711","adult","M","high","emp","big","car"
"4712","old","M","high","emp","big","car"
"4713","old","F","high","emp","big","car"
"4714","old","M","high","emp","big","train"
"4715","adult","M","high","emp","small","train"
"4716","old","M","uni","emp","big","train"
"4717","young","M","uni","emp","big","car"
"4718","adult","M","high","self","big","car"
"4719","young","F","high","self","big","car"
"4720","young","M","high","emp","big","car"
"4721","adult","M","high","emp","big","train"
"4722","old","M","uni","emp","big","other"
"4723","adult","M","high","emp","big","other"
"4724","old","F","high","emp","big","train"
"4725","adult","M","high","emp","big","car"
"4726","adult","F","high","emp","small","car"
"4727","young","F","high","emp","big","car"
"4728","young","F","high","emp","small","car"
"4729","adult","M","high","emp","small","car"
"4730","adult","M","high","emp","big","car"
"4731","adult","M","high","emp","small","car"
"4732","young","M","high","emp","small","train"
"4733","old","F","high","emp","big","train"
"4734","young","F","uni","emp","big","other"
"4735","adult","M","high","emp","big","car"
"4736","young","M","uni","emp","big","train"
"4737","adult","M","high","emp","big","car"
"4738","adult","M","high","emp","big","car"
"4739","adult","M","high","emp","small","other"
"4740","adult","M","high","emp","big","car"
"4741","adult","F","high","self","small","train"
"4742","adult","M","high","emp","big","car"
"4743","old","M","high","emp","big","train"
"4744","old","M","uni","emp","big","car"
"4745","adult","M","high","self","big","car"
"4746","young","M","high","emp","big","car"
"4747","old","F","high","emp","small","train"
"4748","young","M","high","emp","big","car"
"4749","young","M","high","emp","big","car"
"4750","adult","M","high","emp","big","car"
"4751","old","F","uni","self","big","car"
"4752","adult","F","uni","emp","big","train"
"4753","young","F","high","emp","big","other"
"4754","old","M","high","emp","big","car"
"4755","adult","F","uni","emp","big","car"
"4756","adult","M","high","emp","big","car"
"4757","adult","M","uni","emp","big","car"
"4758","adult","M","high","emp","small","train"
"4759","young","F","uni","emp","big","car"
"4760","young","M","uni","emp","big","train"
"4761","old","F","high","emp","small","train"
"4762","young","F","high","emp","small","train"
"4763","adult","M","high","emp","big","train"
"4764","adult","M","high","emp","small","car"
"4765","adult","M","uni","emp","big","other"
"4766","adult","F","high","emp","big","car"
"4767","old","M","high","emp","big","car"
"4768","old","F","high","emp","big","train"
"4769","old","M","high","emp","small","train"
"4770","adult","M","high","emp","big","car"
"4771","adult","F","high","emp","big","car"
"4772","young","M","high","emp","big","other"
"4773","adult","M","high","emp","big","train"
"4774","adult","M","uni","emp","big","car"
"4775","adult","F","uni","emp","big","other"
"4776","adult","M","high","emp","big","train"
"4777","young","F","uni","emp","big","car"
"4778","young","M","high","emp","small","car"
"4779","adult","F","high","emp","big","car"
"4780","old","M","high","emp","big","train"
"4781","adult","M","high","emp","small","train"
"4782","adult","M","high","emp","big","car"
"4783","adult","M","uni","emp","big","car"
"4784","old","M","high","emp","big","car"
"4785","adult","M","high","emp","big","train"
"4786","adult","F","high","emp","small","car"
"4787","adult","F","high","emp","big","car"
"4788","adult","F","uni","self","big","other"
"4789","adult","M","high","emp","big","other"
"4790","young","F","high","emp","small","train"
"4791","young","M","high","emp","big","other"
"4792","adult","M","high","emp","big","car"
"4793","old","M","high","emp","big","car"
"4794","adult","M","high","emp","big","car"
"4795","young","F","uni","emp","big","car"
"4796","young","M","high","emp","small","car"
"4797","young","F","high","emp","big","car"
"4798","adult","F","high","emp","big","car"
"4799","adult","F","high","emp","big","car"
"4800","young","M","high","emp","big","car"
"4801","adult","M","uni","emp","big","car"
"4802","adult","M","high","emp","big","car"
"4803","young","M","high","emp","big","train"
"4804","young","M","uni","self","big","car"
"4805","old","F","high","emp","small","train"
"4806","adult","M","high","emp","big","train"
"4807","adult","M","high","emp","small","train"
"4808","adult","F","uni","emp","small","train"
"4809","young","M","high","emp","small","train"
"4810","adult","F","high","emp","big","train"
"4811","adult","F","high","emp","big","car"
"4812","adult","F","uni","emp","big","car"
"4813","adult","M","high","emp","big","car"
"4814","old","F","high","emp","big","car"
"4815","adult","F","uni","emp","big","car"
"4816","adult","M","high","emp","small","car"
"4817","adult","M","high","emp","big","car"
"4818","adult","F","uni","emp","big","car"
"4819","adult","F","uni","emp","big","other"
"4820","old","M","high","emp","big","other"
"4821","old","M","high","emp","big","other"
"4822","old","F","high","self","small","other"
"4823","young","F","uni","emp","big","train"
"4824","adult","F","high","emp","big","other"
"4825","adult","M","high","emp","big","train"
"4826","young","M","high","emp","small","train"
"4827","young","F","high","emp","big","car"
"4828","old","M","high","emp","big","train"
"4829","young","M","uni","emp","big","car"
"4830","young","F","high","emp","big","car"
"4831","adult","F","uni","emp","big","car"
"4832","adult","M","high","emp","big","car"
"4833","adult","M","uni","self","big","car"
"4834","old","M","high","emp","big","car"
"4835","adult","M","uni","emp","big","car"
"4836","young","M","high","emp","big","train"
"4837","old","M","high","emp","big","car"
"4838","young","F","high","emp","big","car"
"4839","young","M","high","emp","big","car"
"4840","young","F","high","emp","big","car"
"4841","adult","F","uni","emp","big","train"
"4842","old","M","high","emp","big","car"
"4843","adult","F","high","emp","big","car"
"4844","adult","M","high","emp","big","car"
"4845","young","F","uni","emp","big","car"
"4846","young","F","uni","emp","big","car"
"4847","adult","M","high","self","big","car"
"4848","young","F","high","emp","big","car"
"4849","young","F","high","self","small","car"
"4850","adult","M","uni","emp","big","train"
"4851","adult","F","high","emp","small","car"
"4852","adult","M","uni","emp","big","car"
"4853","young","M","uni","emp","big","car"
"4854","young","F","uni","emp","big","car"
"4855","young","M","high","emp","big","car"
"4856","young","F","uni","emp","big","train"
"4857","adult","M","high","emp","small","train"
"4858","adult","M","high","emp","big","car"
"4859","old","M","high","self","big","train"
"4860","adult","M","high","emp","small","car"
"4861","young","M","high","emp","big","car"
"4862","old","F","high","emp","big","car"
"4863","old","M","high","emp","big","other"
"4864","old","M","high","emp","small","train"
"4865","young","M","high","emp","small","train"
"4866","old","M","high","emp","big","train"
"4867","adult","M","uni","emp","big","train"
"4868","young","M","high","emp","big","car"
"4869","old","M","high","emp","big","car"
"4870","young","F","uni","emp","big","car"
"4871","old","F","high","emp","big","car"
"4872","adult","M","uni","emp","big","other"
"4873","old","M","high","emp","big","car"
"4874","adult","F","high","emp","big","train"
"4875","old","F","high","self","big","car"
"4876","adult","M","high","emp","big","other"
"4877","old","M","high","emp","big","car"
"4878","young","M","high","emp","big","car"
"4879","adult","M","high","emp","big","car"
"4880","adult","M","high","emp","big","car"
"4881","young","M","uni","emp","big","car"
"4882","adult","F","high","emp","big","car"
"4883","adult","M","high","emp","small","car"
"4884","adult","M","uni","emp","small","other"
"4885","young","F","high","emp","small","other"
"4886","young","M","high","emp","big","car"
"4887","young","F","high","self","small","car"
"4888","adult","M","uni","emp","big","train"
"4889","adult","M","uni","emp","big","train"
"4890","adult","M","high","emp","big","car"
"4891","adult","M","uni","emp","big","car"
"4892","young","M","uni","emp","small","train"
"4893","adult","M","high","emp","big","train"
"4894","young","F","uni","emp","big","car"
"4895","adult","F","uni","emp","big","other"
"4896","adult","F","high","emp","big","car"
"4897","young","F","high","emp","big","car"
"4898","old","F","high","emp","big","car"
"4899","young","M","uni","emp","small","train"
"4900","adult","F","high","emp","big","car"
"4901","old","F","high","emp","small","car"
"4902","adult","F","high","emp","big","train"
"4903","adult","M","high","emp","big","other"
"4904","adult","F","high","emp","big","other"
"4905","adult","M","high","emp","small","train"
"4906","young","M","uni","emp","small","train"
"4907","young","F","high","emp","big","other"
